flag_id,customer_id,flag_type,flag_date,description,severity
F000001,C034943,Duplicate Record,2025-01-07,Generated flag,High
F000002,C060603,High Transaction Volume,2025-02-18,Generated flag,Low
F000003,C003081,KYC Pending,2023-09-29,Generated flag,Low
F000004,C002983,Duplicate Record,2026-03-09,Generated flag,High
F000005,C090359,Suspicious Activity,2022-10-18,Generated flag,Low
F000006,C013401,High Transaction Volume,2022-08-10,Generated flag,Low
F000007,C088849,High Transaction Volume,2024-08-17,Generated flag,Low
F000008,C006768,High Transaction Volume,2025-12-01,Generated flag,High
F000009,C039992,Duplicate Record,2023-11-03,Generated flag,Low
F000010,C046632,Suspicious Activity,2023-11-11,Generated flag,Low
F000011,C092992,KYC Pending,2022-12-31,Generated flag,Low
F000012,C038757,KYC Pending,2025-09-02,Generated flag,High
F000013,C021001,KYC Pending,2023-05-22,Generated flag,Medium
F000014,C048283,KYC Pending,2026-05-30,Generated flag,Medium
F000015,C038247,High Transaction Volume,2025-02-25,Generated flag,Low
F000016,C062988,Duplicate Record,2025-09-28,Generated flag,Medium
F000017,C019534,Duplicate Record,2022-12-17,Generated flag,High
F000018,C020371,Suspicious Activity,2025-12-28,Generated flag,Medium
F000019,C025538,Duplicate Record,2024-09-30,Generated flag,Medium
F000020,C007363,Duplicate Record,2026-03-12,Generated flag,Low
F000021,C049887,Duplicate Record,2023-07-11,Generated flag,Low
F000022,C090624,High Transaction Volume,2023-02-21,Generated flag,Low
F000023,C018274,High Transaction Volume,2025-03-26,Generated flag,High
F000024,C070294,Duplicate Record,2024-11-07,Generated flag,High
F000025,C016064,High Transaction Volume,2023-05-12,Generated flag,Low
F000026,C045782,KYC Pending,2024-07-10,Generated flag,High
F000027,C054366,KYC Pending,2025-06-09,Generated flag,Low
F000028,C091598,Duplicate Record,2026-03-12,Generated flag,High
F000029,C087413,High Transaction Volume,2023-03-21,Generated flag,High
F000030,C017248,Suspicious Activity,2022-07-03,Generated flag,Low
F000031,C004990,Duplicate Record,2025-05-14,Generated flag,High
F000032,C014952,Suspicious Activity,2023-11-21,Generated flag,Medium
F000033,C014311,High Transaction Volume,2025-03-12,Generated flag,Low
F000034,C016667,Duplicate Record,2024-07-17,Generated flag,High
F000035,C027971,High Transaction Volume,2023-02-07,Generated flag,High
F000036,C038694,Suspicious Activity,2024-06-11,Generated flag,High
F000037,C006418,Duplicate Record,2023-07-23,Generated flag,Medium
F000038,C071988,Duplicate Record,2022-07-28,Generated flag,Low
